Event Name,Description,Properties,Comments,Web,iOS,Android,AppleTV,AndroidTV
program_selection,,,,,False,True,False,True,False
workout_selection,,,,,False,True,False,True,True
settings_feedback_sent,,,,,False,True,False,False,False
onboarding_step_7,,,,,False,True,True,False,False
onboarding_step_post_login_1_1,,,,,False,True,True,False,False
onboarding_step_post_login_2,,,,,False,True,True,False,False
onboarding_step_post_login_3,,,,,False,True,True,False,False
point_entry_screen,,,,,False,True,False,False,False
onboarding_step_5,,,,,False,True,True,False,False
onboarding_step_6,,,,,False,True,True,False,False
onboarding_step_0,,,,,False,True,True,False,False
onboarding_step_1,,,,,False,True,True,False,False
onboarding_step_2,,,,,False,True,True,False,False
onboarding_step_3,,,,,False,True,True,False,False
onboarding_step_post_login_2_1,,,,,False,True,True,False,False
view_landing_page,,,,,False,True,True,False,False
registration_success_optional("facebook"),,,,,False,True,False,False,False
onboarding_step_4,,,,,False,True,True,False,False
onboarding_step_post_login_1,,,,,False,True,True,False,False
onboarding_step_post_login_6,,,,,False,False,True,False,False
onboarding_step_post_login_4,,,,,False,True,True,False,False
onboarding_step_post_login_5,,,,,False,True,True,False,False
tutorial_canceled,,,,,False,True,True,False,False
